day,date,start,start_local,finish_local,stores,drive_km,drive_hours,ferry_km,accommodation
14,2026-08-12,Sunbury Motor Inn,2026-08-12T09:00:00+10:00,2026-08-12T15:48:22+10:00,5,331.113,4.306,0.0,Mickey Bourke's Koroit Hotel
15,2026-08-13,Mickey Bourke's Koroit Hotel,2026-08-13T09:00:00+10:00,2026-08-13T16:05:19+10:00,3,489.732,5.589,0.0,Horsham Motel
16,2026-08-14,Horsham Motel,2026-08-14T09:00:00+10:00,2026-08-14T15:45:35+10:00,2,530.047,5.76,0.0,Darlington Point Motel
17,2026-08-15,Darlington Point Motel,2026-08-15T09:00:00+10:00,2026-08-15T15:52:12+10:00,3,472.088,5.37,0.0,Swaggers Motor Inn
18,2026-08-16,Swaggers Motor Inn,2026-08-16T09:00:00+10:00,2026-08-16T15:59:56+10:00,6,261.736,3.999,0.0,Lincoln Downs Resort
19,2026-08-17,Lincoln Downs Resort,2026-08-17T09:00:00+10:00,2026-08-17T15:30:13+10:00,4,353.558,4.504,0.0,Poplars Inn Mittagong
20,2026-08-18,Poplars Inn Mittagong,2026-08-18T09:00:00+10:00,2026-08-18T15:46:32+10:00,8,183.537,2.776,0.0,Rydges Campbelltown
21,2026-08-19,Rydges Campbelltown,2026-08-19T09:00:00+10:00,2026-08-19T15:24:43+10:00,9,77.323,1.912,0.0,Nightcap at Chester Hill Hotel
22,2026-08-20,Nightcap at Chester Hill Hotel,2026-08-20T09:00:00+10:00,2026-08-20T15:36:17+10:00,9,81.05,2.105,0.0,Mercure Sydney Parramatta
23,2026-08-21,Mercure Sydney Parramatta,2026-08-21T09:00:00+10:00,2026-08-21T15:27:45+10:00,9,65.821,1.962,0.0,Twin Towers Inn
24,2026-08-22,Twin Towers Inn,2026-08-22T09:00:00+10:00,2026-08-22T15:25:10+10:00,8,80.128,2.419,0.0,Manly Waves Hotel: Studios & Apartments
25,2026-08-23,Manly Waves Hotel: Studios & Apartments,2026-08-23T09:00:00+10:00,2026-08-23T15:39:15+10:00,7,159.331,3.154,0.0,Chittaway Motel
26,2026-08-24,Chittaway Motel,2026-08-24T09:00:00+10:00,2026-08-24T15:24:02+10:00,8,126.158,2.401,0.0,Holmesville Hotel
27,2026-08-25,Holmesville Hotel,2026-08-25T09:00:00+10:00,2026-08-25T15:41:16+10:00,6,224.368,3.688,0.0,Cumberland Motor Inn
28,2026-08-26,Cumberland Motor Inn,2026-08-26T09:00:00+10:00,2026-08-26T15:23:44+10:00,6,216.94,3.396,0.0,Quality Inn Penrith
29,2026-08-27,Quality Inn Penrith,2026-08-27T09:00:00+10:00,2026-08-27T15:32:37+10:00,5,276.009,4.044,0.0,Blue Jacket Motel Canowindra
30,2026-08-28,Blue Jacket Motel Canowindra,2026-08-28T09:00:00+10:00,2026-08-28T15:14:37+10:00,3,405.34,4.744,0.0,The Clairfield Hotel
31,2026-08-29,The Clairfield Hotel,2026-08-29T09:00:00+10:00,2026-08-29T15:16:17+10:00,2,449.988,5.271,0.0,Aaron Inn Motel
32,2026-08-30,Aaron Inn Motel,2026-08-30T09:00:00+10:00,2026-08-30T16:36:14+10:00,3,549.36,6.104,0.0,Kingaroy Holiday Park
33,2026-08-31,Kingaroy Holiday Park,2026-08-31T09:00:00+10:00,2026-08-31T15:50:41+10:00,4,366.76,4.845,0.0,Country Rose Motel
34,2026-09-01,Country Rose Motel,2026-09-01T09:00:00+10:00,2026-09-01T14:37:43+10:00,2,401.802,4.629,0.0,Westwood Motor Inn
35,2026-09-02,Westwood Motor Inn,2026-09-02T09:00:00+10:00,2026-09-02T15:50:58+10:00,3,413.376,5.349,0.0,ROYAL HOTEL
36,2026-09-03,ROYAL HOTEL,2026-09-03T09:00:00+10:00,2026-09-03T15:39:08+10:00,5,367.129,4.152,0.0,RodnReel Hotel
37,2026-09-04,RodnReel Hotel,2026-09-04T09:00:00+10:00,2026-09-04T16:10:15+10:00,8,205.213,3.171,0.0,Nightcap at Hinterland Hotel
38,2026-09-05,Nightcap at Hinterland Hotel,2026-09-05T09:00:00+10:00,2026-09-05T15:46:28+10:00,9,97.038,2.274,0.0,Browns Plains Motor Inn
39,2026-09-06,Browns Plains Motor Inn,2026-09-06T09:00:00+10:00,2026-09-06T15:21:40+10:00,8,109.584,2.361,0.0,Bay Retreat Motel
40,2026-09-07,Bay Retreat Motel,2026-09-07T09:00:00+10:00,2026-09-07T15:35:40+10:00,8,96.803,2.594,0.0,Zen Escape Guest House - Head office
41,2026-09-08,Zen Escape Guest House - Head office,2026-09-08T09:00:00+10:00,2026-09-08T15:23:24+10:00,8,113.569,2.39,0.0,Nightcap at Golden Beach Tavern
42,2026-09-09,Nightcap at Golden Beach Tavern,2026-09-09T09:00:00+10:00,2026-09-09T15:32:46+10:00,7,215.782,3.046,0.0,Maryborough City Motel
43,2026-09-10,Maryborough City Motel,2026-09-10T09:00:00+10:00,2026-09-10T16:01:53+10:00,3,449.687,5.531,0.0,LillyPilly Resort
44,2026-09-11,LillyPilly Resort,2026-09-11T09:00:00+10:00,2026-09-11T14:55:01+10:00,3,375.984,4.417,0.0,Sarina Motor Inn
45,2026-09-12,Sarina Motor Inn,2026-09-12T09:00:00+10:00,2026-09-12T15:53:23+10:00,3,450.555,5.39,0.0,Stuart Hotel Motel
46,2026-09-13,Stuart Hotel Motel,2026-09-13T09:00:00+10:00,2026-09-13T15:26:42+10:00,4,350.986,4.445,0.0,Cairns Reef Apartments & Motel Accommodation
47,2026-09-14,Cairns Reef Apartments & Motel Accommodation,2026-09-14T09:00:00+10:00,2026-09-14T15:40:38+10:00,3,412.568,5.177,0.0,Three Rivers Hotel
48,2026-09-15,Three Rivers Hotel,2026-09-15T09:00:00+10:00,2026-09-15T15:15:55+10:00,0,581.633,6.265,0.0,Julia Creek Motel
49,2026-09-16,Julia Creek Motel,2026-09-16T09:00:00+10:00,2026-09-16T16:37:50+09:30,1,707.405,7.631,0.0,Barkly Homestead Wayside Inn
50,2026-09-17,Barkly Homestead Wayside Inn,2026-09-17T09:00:00+09:30,2026-09-17T16:17:43+09:30,0,716.576,7.295,0.0,A Good Rest B&B
51,2026-09-18,A Good Rest B&B,2026-09-18T09:00:00+09:30,2026-09-18T11:40:38+09:30,1,204.646,2.177,0.0,Erldunda Desert Oaks Resort
52,2026-09-19,Erldunda Desert Oaks Resort,2026-09-19T09:00:00+09:30,2026-09-19T13:54:49+09:30,0,488.319,4.914,0.0,Mud Hut Motel
53,2026-09-20,Mud Hut Motel,2026-09-20T09:00:00+09:30,2026-09-20T15:51:07+09:30,1,624.336,6.352,0.0,Rangeview Caravan and Cabin Park
54,2026-09-21,Rangeview Caravan and Cabin Park,2026-09-21T09:00:00+09:30,2026-09-21T15:54:32+09:30,1,588.557,6.409,0.0,Discovery Parks - Renmark Riverfront
55,2026-09-22,Discovery Parks - Renmark Riverfront,2026-09-22T09:00:00+09:30,2026-09-22T15:12:19+09:30,4,350.496,4.205,0.0,The Gawler Arms Hotel
56,2026-09-23,The Gawler Arms Hotel,2026-09-23T09:00:00+09:30,2026-09-23T15:36:58+09:30,9,89.01,2.116,0.0,City West Motel
57,2026-09-24,City West Motel,2026-09-24T09:00:00+09:30,2026-09-24T15:40:32+09:30,8,146.284,2.676,0.0,McLaren Vale Motel & Apartments
58,2026-09-25,McLaren Vale Motel & Apartments,2026-09-25T09:00:00+09:30,2026-09-25T15:56:23+09:30,0,639.402,6.94,0.0,Modra's Apartments Tumby Bay
59,2026-09-26,Modra's Apartments Tumby Bay,2026-09-26T09:00:00+09:30,2026-09-26T14:19:46+09:30,1,457.014,4.829,0.0,Highway One Motel Ceduna
60,2026-09-27,Highway One Motel Ceduna,2026-09-27T09:00:00+09:30,2026-09-27T15:59:02+08:00,0,827.196,8.484,0.0,Caiguna Roadhouse
61,2026-09-28,Caiguna Roadhouse,2026-09-28T09:00:00+08:00,2026-09-28T15:51:58+08:00,1,610.948,6.366,0.0,Kambalda Village Accommodation
62,2026-09-29,Kambalda Village Accommodation,2026-09-29T09:00:00+08:00,2026-09-29T16:31:26+08:00,1,673.033,7.024,0.0,Ongerup Hotel
63,2026-09-30,Ongerup Hotel,2026-09-30T09:00:00+08:00,2026-09-30T15:58:46+08:00,2,526.523,5.979,0.0,Aqua Resort
64,2026-10-01,Aqua Resort,2026-10-01T09:00:00+08:00,2026-10-01T15:27:39+08:00,7,210.085,2.961,0.0,Hotel Clipper
65,2026-10-02,Hotel Clipper,2026-10-02T09:00:00+08:00,2026-10-02T15:43:51+08:00,9,89.14,2.231,0.0,Quest Innaloo
66,2026-10-03,Quest Innaloo,2026-10-03T09:00:00+08:00,2026-10-03T15:46:06+08:00,9,112.596,2.268,0.0,Durham Lodge Bed & Breakfast
67,2026-10-04,Durham Lodge Bed & Breakfast,2026-10-04T09:00:00+08:00,2026-10-04T15:52:40+08:00,9,112.054,2.378,0.0,Amaroo Retreat & Spa
68,2026-10-05,Amaroo Retreat & Spa,2026-10-05T09:00:00+08:00,2026-10-05T16:02:07+08:00,2,550.565,6.035,0.0,The Railway Tavern Northampton
69,2026-10-06,The Railway Tavern Northampton,2026-10-06T09:00:00+08:00,2026-10-06T13:18:34+08:00,0,423.599,4.309,0.0,Carnarvon Capricorn Holiday Park
70,2026-10-07,Carnarvon Capricorn Holiday Park,2026-10-07T09:00:00+08:00,2026-10-07T15:57:51+08:00,0,680.107,6.964,0.0,The Cove Holiday Village
71,2026-10-08,The Cove Holiday Village,2026-10-08T09:00:00+08:00,2026-10-08T11:21:01+08:00,0,215.824,2.35,0.0,Walkabout Motel Port Hedland
72,2026-10-09,Walkabout Motel Port Hedland,2026-10-09T09:00:00+08:00,2026-10-09T15:10:08+08:00,0,594.0,6.169,0.0,Broome Caravan Park
73,2026-10-10,Broome Caravan Park,2026-10-10T09:00:00+08:00,2026-10-10T13:58:16+08:00,1,409.338,4.471,0.0,Fitzroy River Lodge
74,2026-10-11,Fitzroy River Lodge,2026-10-11T09:00:00+08:00,2026-10-11T15:52:27+08:00,0,646.96,6.874,0.0,Lily Lagoon Resort
75,2026-10-12,Lily Lagoon Resort,2026-10-12T09:00:00+08:00,2026-10-12T15:53:31+09:30,0,512.547,5.392,0.0,Paraway Motel
76,2026-10-13,Paraway Motel,2026-10-13T09:00:00+09:30,2026-10-13T13:41:48+09:30,2,337.149,3.697,0.0,Quest Palmerston
